Jumlah Penduduk Miskin Menurut Wilayah (Juta Jiwa),,
NAMA WILAYAH,TAHUN,JUMLAH (JUTA JIWA)
Kota,2011,11
Kota,2012,10.58  
Kota,2013,10.48  
Kota,2014,10.44  
Kota,2015,10.63  
Kota,2016,10.41  
Kota,2017,10.47  
Kota,2018,10.13  
Kota,2019,9.93  
Kota,2020,11.6  
Kota,2021,12.02  
Kota,2022,11.9  
Kota,2023,11.74  
Kota,2024,11.64  
Desa,2011,18.95  
Desa,2012,18.29  
Desa,2013,17.83  
Desa,2014,17.57  
Desa,2015,17.91  
Desa,2016,17.48  
Desa,2017,16.7  
Desa,2018,15.68  
Desa,2019,15.04  
Desa,2020,15.38  
Desa,2021,15.01  
Desa,2022,14.36  
Desa,2023,14.16  
Desa,2024,13.58  
Kota+Desa,2011,29.95  
Kota+Desa,2012,28.86  
Kota+Desa,2013,28.31  
Kota+Desa,2014,28.0  
Kota+Desa,2015,28.55  
Kota+Desa,2016,27.89  
Kota+Desa,2017,27.18  
Kota+Desa,2018,25.81  
Kota+Desa,2019,24.96  
Kota+Desa,2020,26.98  
Kota+Desa,2021,27.02  
Kota+Desa,2022,26.26  
Kota+Desa,2023,25.9  
Kota+Desa,2024,25.22
