Jumlah Angkatan Kerja,
Golongan Umur,Tahun,Jumlah AK
15-19,2016,6219598
15-19,2017,7096466
15-19,2018,6125710
15-19,2019,6195241
15-19,2020,6674405
15-19,2021,6146156
15-19,2022,6383796
15-19,2023,6338414
20-24,2016,14735371
20-24,2017,13190479
20-24,2018,14722319
20-24,2019,15098627
20-24,2020,14731737
20-24,2021,14653326
20-24,2022,14925016
20-24,2023,15845564
25-29,2016,15520185
25-29,2017,13947457
25-29,2018,16253401
25-29,2019,16433540
25-29,2020,16156674
25-29,2021,16380786
25-29,2022,16366138
25-29,2023,17288987
30-34,2016,15389189
30-34,2017,15579183
30-34,2018,16136998
30-34,2019,16273991
30-34,2020,16213486
30-34,2021,16462541
30-34,2022,16457136
30-34,2023,17165542
35-39,2016,15360465
35-39,2017,17633583
35-39,2018,16174379
35-39,2019,16239679
35-39,2020,16282483
35-39,2021,16624124
35-39,2022,16588880
35-39,2023,17036351
40-44,2016,14736098
40-44,2017,14546532
40-44,2018,15450229
40-44,2019,15575063
40-44,2020,15753097
40-44,2021,16182083
40-44,2022,16295193
40-44,2023,16594525
45-49,2016,13054067
45-49,2017,13869367
45-49,2018,14222260
45-49,2019,14505809
45-49,2020,14704813
45-49,2021,15127166
45-49,2022,15295739
45-49,2023,15650298
50-54,2016,10986355
50-54,2017,11572695
50-54,2018,11892681
50-54,2019,12302498
50-54,2020,12739657
50-54,2021,13060578
50-54,2022,13637514
50-54,2023,13638005
55-59,2016,8479281
55-59,2017,8969414
55-59,2018,9125034
55-59,2019,9510181
55-59,2020,9946508
55-59,2021,10151384
55-59,2022,10712814
55-59,2023,11115759
60+,2016,10963139
60+,2017,11657570
60+,2018,13252560
60+,2019,13725066
60+,2020,15019078
60+,2021,15364431
60+,2022,17060418
60+,2023,17034007
Total,2016,125443748
Total,2017,128062746
Total,2018,133355571
Total,2019,135859695
Total,2020,138221938
Total,2021,140152575
Total,2022,143722644
Total,2023,147707452
