RATA UPAH PER JAM BERDASARKAN TINGKAT PENDIDIKAN 2016-2023(RUPIAH/JAM),,
TINGKAT PENDIDIKAN,TAHUN,RATA UPAH (Rupiah/jam)
<= SD,2016,8242
<= SD,2017,8545
<= SD,2018,9305
<= SD,2019,9654
<= SD,2020,10405
<= SD,2021,10478
<= SD,2022,11229
<= SD,2023,12438
SMP,2016,9482
SMP,2017,10241
SMP,2018,10772
SMP,2019,11438
SMP,2020,12216
SMP,2021,12388
SMP,2022,12902
SMP,2023,13790
SMA UMUM,2016,14071
SMA UMUM,2017,15108
SMA UMUM,2018,15290
SMA UMUM,2019,15809
SMA UMUM,2020,16677
SMA UMUM,2021,16961
SMA UMUM,2022,16732
SMA UMUM,2023,19256
SMA KEJURUAN,2016,13799
SMA KEJURUAN,2017,14844
SMA KEJURUAN,2018,15052
SMA KEJURUAN,2019,15704
SMA KEJURUAN,2020,16662
SMA KEJURUAN,2021,18029
SMA KEJURUAN,2022,16946
SMA KEJURUAN,2023,17432
DIPLOMA I/II/III,2016,22695
DIPLOMA I/II/III,2017,21672
DIPLOMA I/II/III,2018,22327
DIPLOMA I/II/III,2019,22805
DIPLOMA I/II/III,2020,26055
DIPLOMA I/II/III,2021,25881
DIPLOMA I/II/III,2022,24000
DIPLOMA I/II/III,2023,27221
UNIVERSITAS,2016,28974
UNIVERSITAS,2017,29149
UNIVERSITAS,2018,29358
UNIVERSITAS,2019,29649
UNIVERSITAS,2020,35680
UNIVERSITAS,2021,34908
UNIVERSITAS,2022,32030
UNIVERSITAS,2023,32581
