RATA-RATA UPAH TEMPAT TINGGAL,,
TEMPAT TINGGAL,TAHUN,UPAH (Rupiah/perjam)
Kota,2016,14289	
Kota,2017,16808
Kota,2018,17326
Kota,2019,17825
Kota,2020,19651
Kota,2021,20234
Kota,2022,19751
Kota,2023,21483
Desa,2016,10683
Desa,2017,10997
Desa,2018,11557
Desa,2019,12205
Desa,2020,14242
Desa,2021,14182
Desa,2022,13151
Desa,2023,14101
Kota + Desa,2016,14068
Kota + Desa,2017,14731
Kota + Desa,2018,15275
Kota + Desa,2019,15823
Kota + Desa,2020,17696
Kota + Desa,2021,18089
Kota + Desa,2022,17542
Kota + Desa,2023,19027
