NILAI UMP 2023,,
NAMA WILAYAH,UMP 2023,
ACEH,3413666,
SUMATERA UTARA,2710493,
SUMATERA SELATAN,3404177,
SUMATERA BARAT,2742476,
BENGKULU,2400000,
RIAU,3191662,
KEP. RIAU,3279194,
JAMBI,2943000,
LAMPUNG,2633284,
KEP. BANGKA BELITUNG,3498479,
BANTEN,2661280,
DKI JAKARTA,4901798,
JAWA BARAT,1986670,
JAWA TENGAH,1958169,
DI YOGYAKARTA,1981782,
JAWA TIMUR,2040244,
KALIMANTAN BARAT,2608601,
KALIMANTAN TIMUR,3201396,
KALIMANTAN SELATAN,3149977,
KALIMANTAN TENGAH,3181013,
KALIMANTAN UTARA,3251702,
BALI,2713672,
NUSA TENGGARA TIMUR,2123994,
NUSA TENGGARA BARAT,2371407,
SULAWESI BARAT,2871794,
SULAWESI TENGAH,2599546,
SULAWESI UTARA,3485000,
SULAWESI TENGGARA,2758948,
SULAWESI SELATAN,3385145,
GORONTALO,2989350,
MALUKU UTARA,2976720,
MALUKU,2812827,
PAPUA BARAT,3282000,
PAPUA,3864696,
